"DBN","School Name","Year","Total Enrollment","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multiple Race Categories Not Represented","% Multiple Race Categories Not Represented","# White","% White","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
"09X568","Young Women's Leadership School of the Bronx","2018-19","536","0","0","0","0","0","0","0","85","90","76","94","66","66","59","536","100%","0","0%","14","2.6%","173","32.3%","328","61.2%","12","2.2%","9","1.7%","98","18.3%","26","4.9%","449","83.8%","81.3%"
"09X582","Garden of Learning and Discovery Pre-K Center","2018-19","88","88","0","0","0","0","0","0","0","0","0","0","0","0","0","47","53.4%","41","46.6%","2","2.3%","20","22.7%","64","72.7%","0","0%","2","2.3%","13","14.8%","0","0%","69","78.4%","87.5%"
"09X593","South Bronx International Middle School","2018-19","45","0","0","0","0","0","0","0","45","0","0","0","0","0","0","25","55.6%","20","44.4%","0","0%","7","15.6%","38","84.4%","0","0%","0","0%","5","11.1%","40","88.9%","40","88.9%","95.4%"
"09X594","M.S. 594","2018-19","197","0","0","0","0","0","0","0","78","76","43","0","0","0","0","90","45.7%","107","54.3%","1","0.5%","55","27.9%","138","70.1%","2","1%","1","0.5%","60","30.5%","60","30.5%","186","94.4%","93.1%"
"10X003","P.S. 3 Raul Julia Micro Society","2018-19","321","26","39","30","31","27","31","35","42","29","31","0","0","0","0","179","55.8%","142","44.2%","0","0%","91","28.3%","229","71.3%","0","0%","1","0.3%","68","21.2%","48","15%","313","97.5%","91.1%"
"10X007","Milton Fein School","2018-19","688","0","78","82","84","103","189","152","0","0","0","0","0","0","0","349","50.7%","339","49.3%","44","6.4%","41","6%","543","78.9%","4","0.6%","56","8.1%","80","11.6%","139","20.2%","547","79.5%","74.2%"
"10X008","P.S. 008 Isaac Varian","2018-19","939","0","141","146","151","140","169","192","0","0","0","0","0","0","0","466","49.6%","473","50.4%","54","5.8%","71","7.6%","742","79%","10","1.1%","62","6.6%","198","21.1%","240","25.6%","811","86.4%","84.7%"
"10X009","P.S. 9 Ryer Avenue Elementary School","2018-19","830","69","101","121","117","142","145","135","0","0","0","0","0","0","0","422","50.8%","408","49.2%","17","2%","124","14.9%","670","80.7%","11","1.3%","8","1%","169","20.4%","263","31.7%","765","92.2%","95.4%"
"10X015","P.S. X015 Institute for Environmental Learning","2018-19","475","0","45","47","52","50","46","62","59","59","55","0","0","0","0","261","54.9%","214","45.1%","7","1.5%","54","11.4%","409","86.1%","5","1.1%","0","0%","97","20.4%","54","11.4%","370","77.9%","86.3%"
"10X020","PS/MS 20 P.O.George J. Werdann, III","2018-19","988","18","82","85","91","110","124","108","126","128","116","0","0","0","0","465","47.1%","523","52.9%","82","8.3%","113","11.4%","726","73.5%","17","1.7%","50","5.1%","278","28.1%","250","25.3%","950","96.2%","87.9%"
"10X023","P.S. 023 The New Children's School","2018-19","445","54","49","80","62","54","63","83","0","0","0","0","0","0","0","211","47.4%","234","52.6%","3","0.7%","148","33.3%","285","64%","5","1.1%","4","0.9%","110","24.7%","90","20.2%","431","96.9%","95.6%"
"10X024","P.S. 024 Spuyten Duyvil","2018-19","844","0","148","159","121","150","139","127","0","0","0","0","0","0","0","408","48.3%","436","51.7%","77","9.1%","61","7.2%","364","43.1%","42","5%","300","35.5%","115","13.6%","36","4.3%","230","27.3%","25%"
"10X032","P.S. 032 Belmont","2018-19","758","36","104","104","120","131","134","129","0","0","0","0","0","0","0","408","53.8%","350","46.2%","7","0.9%","136","17.9%","589","77.7%","7","0.9%","19","2.5%","171","22.6%","135","17.8%","733","96.7%","94.7%"
"10X033","P.S. 033 Timothy Dwight","2018-19","890","54","129","142","138","132","147","148","0","0","0","0","0","0","0","445","50%","445","50%","6","0.7%","87","9.8%","765","86%","22","2.5%","10","1.1%","186","20.9%","215","24.2%","806","90.6%","94.7%"
"10X037","P.S. X037 - Multiple Intelligence School","2018-19","630","0","72","69","57","73","88","96","74","56","45","0","0","0","0","303","48.1%","327","51.9%","12","1.9%","133","21.1%","465","73.8%","8","1.3%","12","1.9%","176","27.9%","97","15.4%","540","85.7%","85.9%"
"10X045","Thomas C. Giordano Middle School 45","2018-19","709","0","0","0","0","0","0","0","258","219","232","0","0","0","0","351","49.5%","358","50.5%","6","0.8%","117","16.5%","556","78.4%","6","0.8%","24","3.4%","133","18.8%","136","19.2%","680","95.9%","92.4%"
"10X046","P.S. 046 Edgar Allan Poe","2018-19","853","0","133","148","142","152","146","132","0","0","0","0","0","0","0","418","49%","435","51%","13","1.5%","114","13.4%","703","82.4%","8","0.9%","15","1.8%","197","23.1%","340","39.9%","750","87.9%","93.3%"
"10X051","P.S. 051 Bronx New School","2018-19","205","18","29","29","36","36","32","25","0","0","0","0","0","0","0","97","47.3%","108","52.7%","4","2%","64","31.2%","133","64.9%","1","0.5%","3","1.5%","32","15.6%","8","3.9%","176","85.9%","85%"
"10X054","P.S./I.S. 54","2018-19","475","50","78","68","66","73","70","70","0","0","0","0","0","0","0","239","50.3%","236","49.7%","12","2.5%","110","23.2%","343","72.2%","3","0.6%","7","1.5%","100","21.1%","73","15.4%","457","96.2%","92.8%"
"10X056","P.S. 056 Norwood Heights","2018-19","669","0","86","121","126","115","115","106","0","0","0","0","0","0","0","315","47.1%","354","52.9%","141","21.1%","57","8.5%","418","62.5%","16","2.4%","37","5.5%","164","24.5%","103","15.4%","556","83.1%","90.3%"
"10X059","P.S. 059 The Community School of Technology","2018-19","519","46","65","74","75","92","85","82","0","0","0","0","0","0","0","239","46.1%","280","53.9%","4","0.8%","162","31.2%","342","65.9%","4","0.8%","7","1.3%","143","27.6%","92","17.7%","509","98.1%","96.4%"
"10X077","Bedford Park Elementary School","2018-19","423","32","84","73","105","61","68","0","0","0","0","0","0","0","0","196","46.3%","227","53.7%","56","13.2%","26","6.1%","284","67.1%","8","1.9%","49","11.6%","65","15.4%","119","28.1%","366","86.5%","85.8%"
"10X080","J.H.S. 080 The Mosholu Parkway","2018-19","652","0","0","0","0","0","0","0","204","222","226","0","0","0","0","296","45.4%","356","54.6%","73","11.2%","87","13.3%","460","70.6%","8","1.2%","24","3.7%","164","25.2%","206","31.6%","576","88.3%","89.8%"
"10X081","P.S. 081 Robert J. Christen","2018-19","746","0","138","133","118","113","122","122","0","0","0","0","0","0","0","355","47.6%","391","52.4%","52","7%","69","9.2%","394","52.8%","27","3.6%","204","27.3%","137","18.4%","60","8%","329","44.1%","38.5%"
"10X085","P.S. 085 Great Expectations","2018-19","922","76","147","133","146","135","141","144","0","0","0","0","0","0","0","429","46.5%","493","53.5%","9","1%","244","26.5%","657","71.3%","9","1%","3","0.3%","193","20.9%","242","26.2%","874","94.8%","94.1%"
"10X086","P.S. 086 Kingsbridge Heights","2018-19","1,625","36","216","239","232","227","254","238","183","0","0","0","0","0","0","806","49.6%","819","50.4%","60","3.7%","92","5.7%","1,441","88.7%","10","0.6%","22","1.4%","329","20.2%","510","31.4%","1,406","86.5%","91.6%"
"10X091","P.S. 091 Bronx","2018-19","646","0","87","111","107","112","112","117","0","0","0","0","0","0","0","329","50.9%","317","49.1%","23","3.6%","95","14.7%","504","78%","12","1.9%","12","1.9%","137","21.2%","261","40.4%","618","95.7%","94.2%"
"10X094","P.S. 094 Kings College School","2018-19","1,220","0","208","219","207","202","194","190","0","0","0","0","0","0","0","605","49.6%","615","50.4%","105","8.6%","190","15.6%","849","69.6%","30","2.5%","46","3.8%","284","23.3%","311","25.5%","1,136","93.1%","91.6%"
"10X095","P.S. 095 Sheila Mencher","2018-19","1,230","0","103","122","124","137","120","146","149","167","162","0","0","0","0","624","50.7%","606","49.3%","70","5.7%","202","16.4%","880","71.5%","24","2%","54","4.4%","264","21.5%","199","16.2%","997","81.1%","86.1%"
"10X118","J.H.S. 118 William W. Niles","2018-19","1,105","0","0","0","0","0","0","0","369","378","358","0","0","0","0","560","50.7%","545","49.3%","174","15.7%","221","20%","671","60.7%","14","1.3%","25","2.3%","246","22.3%","137","12.4%","992","89.8%","87.4%"
"10X141","Riverdale / Kingsbridge Academy (Middle School / H","2018-19","1,513","0","0","0","0","0","0","0","273","272","240","218","209","151","150","741","49%","772","51%","112","7.4%","144","9.5%","840","55.5%","22","1.5%","395","26.1%","283","18.7%","106","7%","768","50.8%","46.9%"
"10X159","P.S. 159 Luis Munoz Marin Biling","2018-19","194","0","25","26","42","34","44","23","0","0","0","0","0","0","0","114","58.8%","80","41.2%","0","0%","24","12.4%","165","85.1%","2","1%","3","1.5%","27","13.9%","60","30.9%","168","86.6%","92.9%"
"10X205","P.S. 205 Fiorello LaGuardia","2018-19","935","0","125","157","162","161","188","142","0","0","0","0","0","0","0","486","52%","449","48%","18","1.9%","114","12.2%","745","79.7%","7","0.7%","51","5.5%","200","21.4%","229","24.5%","833","89.1%","94.3%"
"10X206","I.S. 206 Ann Mersereau","2018-19","229","0","0","0","0","0","0","0","95","68","66","0","0","0","0","114","49.8%","115","50.2%","6","2.6%","29","12.7%","190","83%","2","0.9%","2","0.9%","67","29.3%","76","33.2%","213","93%","96.1%"
"10X207","P.S. 207","2018-19","336","35","60","99","64","78","0","0","0","0","0","0","0","0","0","147","43.8%","189","56.3%","20","6%","32","9.5%","259","77.1%","3","0.9%","22","6.5%","73","21.7%","89","26.5%","304","90.5%","88.2%"
"10X209","P.S. 209","2018-19","276","36","92","80","68","0","0","0","0","0","0","0","0","0","0","148","53.6%","128","46.4%","1","0.4%","53","19.2%","220","79.7%","1","0.4%","1","0.4%","75","27.2%","61","22.1%","259","93.8%","91.2%"
"10X213","Bronx Engineering and Technology Academy","2018-19","377","0","0","0","0","0","0","0","0","0","0","117","103","88","69","59","15.6%","318","84.4%","18","4.8%","104","27.6%","242","64.2%","4","1.1%","9","2.4%","93","24.7%","70","18.6%","350","92.8%","86.7%"
"10X225","Theatre Arts Production Company School","2018-19","540","0","0","0","0","0","0","0","66","65","61","109","85","81","73","355","65.7%","185","34.3%","12","2.2%","130","24.1%","384","71.1%","5","0.9%","9","1.7%","127","23.5%","41","7.6%","428","79.3%","87.3%"
"10X226","P.S. 226","2018-19","450","36","60","72","74","70","62","76","0","0","0","0","0","0","0","223","49.6%","227","50.4%","2","0.4%","97","21.6%","348","77.3%","3","0.7%","0","0%","78","17.3%","118","26.2%","431","95.8%","93.3%"
"10X228","Jonas Bronck Academy","2018-19","270","0","0","0","0","0","0","0","90","90","90","0","0","0","0","122","45.2%","148","54.8%","18","6.7%","39","14.4%","205","75.9%","3","1.1%","5","1.9%","50","18.5%","19","7%","232","85.9%","83.2%"
"10X237","The Marie Curie School for Medicine, Nursing, and","2018-19","430","0","0","0","0","0","0","0","0","0","0","127","128","90","85","312","72.6%","118","27.4%","14","3.3%","124","28.8%","268","62.3%","8","1.9%","16","3.7%","101","23.5%","55","12.8%","326","75.8%","84.4%"
"10X243","West Bronx Academy for the Future","2018-19","609","0","0","0","0","0","0","0","97","99","86","127","88","63","49","288","47.3%","321","52.7%","12","2%","109","17.9%","477","78.3%","4","0.7%","7","1.1%","160","26.3%","74","12.2%","574","94.3%","91.7%"
"10X244","The New School for Leadership and Journalism","2018-19","748","0","0","0","0","0","0","0","192","270","286","0","0","0","0","353","47.2%","395","52.8%","26","3.5%","79","10.6%","624","83.4%","7","0.9%","12","1.6%","166","22.2%","174","23.3%","734","98.1%","87.6%"
"10X246","P.S. 246 Poe Center","2018-19","683","0","102","111","108","98","130","134","0","0","0","0","0","0","0","317","46.4%","366","53.6%","16","2.3%","48","7%","590","86.4%","4","0.6%","25","3.7%","148","21.7%","260","38.1%","625","91.5%","94.1%"
"10X254","I.S. 254","2018-19","493","0","0","0","0","0","0","0","149","182","162","0","0","0","0","243","49.3%","250","50.7%","12","2.4%","78","15.8%","398","80.7%","2","0.4%","3","0.6%","139","28.2%","184","37.3%","436","88.4%","92.6%"
"10X264","Bronx Academy for Software Engineering (BASE)","2018-19","419","0","0","0","0","0","0","0","0","0","0","113","114","100","92","95","22.7%","324","77.3%","26","6.2%","114","27.2%","256","61.1%","9","2.1%","14","3.3%","118","28.2%","38","9.1%","317","75.7%","80%"
"10X268","Kingsbridge International High School","2018-19","491","0","0","0","0","0","0","0","0","0","0","89","159","128","115","250","50.9%","241","49.1%","16","3.3%","16","3.3%","443","90.2%","3","0.6%","13","2.6%","21","4.3%","428","87.2%","472","96.1%","98.6%"
"10X279","P.S. 279 Captain Manuel Rivera, Jr.","2018-19","1,031","0","97","88","103","118","116","115","138","128","128","0","0","0","0","481","46.7%","550","53.3%","34","3.3%","165","16%","820","79.5%","9","0.9%","3","0.3%","208","20.2%","282","27.4%","984","95.4%","95.3%"
"10X280","P.S./M.S. 280 Mosholu Parkway","2018-19","816","0","70","88","74","84","93","89","96","99","123","0","0","0","0","405","49.6%","411","50.4%","78","9.6%","63","7.7%","628","77%","5","0.6%","42","5.1%","243","29.8%","138","16.9%","763","93.5%","88.1%"
"10X284","Bronx School of Law and Finance","2018-19","369","0","0","0","0","0","0","0","0","0","0","104","113","79","73","183","49.6%","186","50.4%","4","1.1%","80","21.7%","267","72.4%","6","1.6%","12","3.3%","78","21.1%","80","21.7%","325","88.1%","89%"
"10X291","P.S. 291","2018-19","601","0","91","107","93","94","103","113","0","0","0","0","0","0","0","294","48.9%","307","51.1%","4","0.7%","45","7.5%","550","91.5%","0","0%","2","0.3%","107","17.8%","172","28.6%","600","99.8%","92.6%"
"10X306","P.S. 306","2018-19","651","0","85","112","120","98","113","123","0","0","0","0","0","0","0","340","52.2%","311","47.8%","9","1.4%","163","25%","473","72.7%","1","0.2%","5","0.8%","132","20.3%","106","16.3%","572","87.9%","94.2%"
"10X307","Luisa Pineiro Fuentes School of Science and Discov","2018-19","342","0","52","50","71","63","56","50","0","0","0","0","0","0","0","158","46.2%","184","53.8%","19","5.6%","18","5.3%","299","87.4%","0","0%","6","1.8%","69","20.2%","144","42.1%","282","82.5%","88.9%"
"10X308","Bronx Dance Academy School","2018-19","271","0","0","0","0","0","0","0","93","94","84","0","0","0","0","202","74.5%","69","25.5%","4","1.5%","52","19.2%","212","78.2%","0","0%","3","1.1%","62","22.9%","17","6.3%","250","92.3%","88.4%"
"10X310","P.S. 310 Marble Hill","2018-19","674","68","91","96","113","97","107","102","0","0","0","0","0","0","0","341","50.6%","333","49.4%","14","2.1%","68","10.1%","575","85.3%","2","0.3%","15","2.2%","102","15.1%","96","14.2%","632","93.8%","86.8%"
"10X315","P.S. 315 Lab School","2018-19","230","0","16","22","25","19","24","28","27","29","40","0","0","0","0","117","50.9%","113","49.1%","4","1.7%","33","14.3%","191","83%","1","0.4%","1","0.4%","47","20.4%","31","13.5%","216","93.9%","91.3%"
"10X319","Providing Urban Learners Success In Education High","2018-19","231","0","0","0","0","0","0","0","0","0","0","25","65","89","52","130","56.3%","101","43.7%","0","0%","21","9.1%","137","59.3%","73","31.6%","0","0%","38","16.5%","17","7.4%","213","92.2%","91.4%"
"10X331","The Bronx School of Young Leaders","2018-19","434","0","0","0","0","0","0","0","156","139","139","0","0","0","0","196","45.2%","238","54.8%","5","1.2%","115","26.5%","311","71.7%","2","0.5%","1","0.2%","110","25.3%","89","20.5%","371","85.5%","92.1%"
"10X340","P.S. 340","2018-19","593","18","94","102","92","100","92","95","0","0","0","0","0","0","0","277","46.7%","316","53.3%","11","1.9%","47","7.9%","519","87.5%","3","0.5%","13","2.2%","153","25.8%","180","30.4%","497","83.8%","88.7%"
"10X342","International School for Liberal Arts","2018-19","518","0","0","0","0","0","0","0","47","53","47","94","79","103","95","251","48.5%","267","51.5%","1","0.2%","1","0.2%","516","99.6%","0","0%","0","0%","45","8.7%","369","71.2%","508","98.1%","95.4%"
"10X344","Ampark Neighborhood","2018-19","378","35","52","58","51","65","62","55","0","0","0","0","0","0","0","177","46.8%","201","53.2%","14","3.7%","49","13%","237","62.7%","15","4%","63","16.7%","84","22.2%","14","3.7%","195","51.6%","45%"
"10X351","Bronx Collaborative High School","2018-19","587","0","0","0","0","0","0","0","0","0","0","171","164","127","125","291","49.6%","296","50.4%","20","3.4%","168","28.6%","371","63.2%","8","1.4%","20","3.4%","133","22.7%","112","19.1%","474","80.7%","84.8%"
"10X353","World View High School","2018-19","551","0","0","0","0","0","0","0","0","0","0","161","140","151","99","305","55.4%","246","44.6%","7","1.3%","127","23%","394","71.5%","18","3.3%","5","0.9%","96","17.4%","138","25%","416","75.5%","80.3%"
"10X360","P.S. 360","2018-19","433","49","47","66","70","71","64","66","0","0","0","0","0","0","0","198","45.7%","235","54.3%","9","2.1%","48","11.1%","361","83.4%","2","0.5%","13","3%","103","23.8%","78","18%","404","93.3%","87%"
"10X363","Academy For Personal Leadership And Excellence","2018-19","582","0","0","0","0","0","0","0","165","219","198","0","0","0","0","266","45.7%","316","54.3%","11","1.9%","63","10.8%","495","85.1%","6","1%","7","1.2%","159","27.3%","183","31.4%","533","91.6%","92.7%"
"10X368","In-Tech Academy (M.S. / High School 368)","2018-19","1,022","0","0","0","0","0","0","0","149","155","176","175","167","97","103","463","45.3%","559","54.7%","43","4.2%","86","8.4%","841","82.3%","15","1.5%","37","3.6%","222","21.7%","172","16.8%","878","85.9%","79.8%"
"10X374","Knowledge and Power Preparatory Academy Internatio","2018-19","464","0","0","0","0","0","0","0","0","0","0","122","130","107","105","280","60.3%","184","39.7%","10","2.2%","125","26.9%","308","66.4%","8","1.7%","13","2.8%","114","24.6%","51","11%","404","87.1%","84%"
"10X382","Elementary School for Math, Science, and Technolog","2018-19","278","0","44","38","42","54","46","54","0","0","0","0","0","0","0","145","52.2%","133","47.8%","2","0.7%","62","22.3%","212","76.3%","2","0.7%","0","0%","50","18%","81","29.1%","266","95.7%","96.7%"
"10X386","School for Environmental Citizenship","2018-19","604","71","89","87","78","95","86","98","0","0","0","0","0","0","0","280","46.4%","324","53.6%","4","0.7%","70","11.6%","521","86.3%","0","0%","9","1.5%","108","17.9%","197","32.6%","592","98%","96.8%"
"10X390","M.S. 390","2018-19","539","0","0","0","0","0","0","0","168","190","181","0","0","0","0","248","46%","291","54%","6","1.1%","70","13%","460","85.3%","1","0.2%","2","0.4%","139","25.8%","150","27.8%","513","95.2%","93.2%"
"10X391","The Angelo Patri Middle School","2018-19","475","0","0","0","0","0","0","0","150","173","152","0","0","0","0","222","46.7%","253","53.3%","9","1.9%","110","23.2%","348","73.3%","3","0.6%","5","1.1%","125","26.3%","169","35.6%","432","90.9%","94.7%"
"10X396","P.S. 396","2018-19","291","36","39","44","37","38","47","50","0","0","0","0","0","0","0","131","45%","160","55%","3","1%","52","17.9%","234","80.4%","1","0.3%","1","0.3%","98","33.7%","58","19.9%","271","93.1%","92.1%"
"10X397","English Language Learners and International Suppor","2018-19","309","0","0","0","0","0","0","0","0","0","0","83","71","91","64","136","44%","173","56%","7","2.3%","66","21.4%","214","69.3%","9","2.9%","13","4.2%","1","0.3%","295","95.5%","266","86.1%","98.3%"
"10X433","High School for Teaching and the Professions","2018-19","414","0","0","0","0","0","0","0","0","0","0","119","105","110","80","220","53.1%","194","46.9%","12","2.9%","60","14.5%","319","77.1%","5","1.2%","18","4.3%","95","22.9%","109","26.3%","359","86.7%","92.8%"
"10X434","Belmont Preparatory High School","2018-19","390","0","0","0","0","0","0","0","0","0","0","132","103","77","78","214","54.9%","176","45.1%","18","4.6%","85","21.8%","277","71%","5","1.3%","5","1.3%","90","23.1%","47","12.1%","329","84.4%","84.2%"
"10X437","Fordham High School for the Arts","2018-19","319","0","0","0","0","0","0","0","0","0","0","90","96","71","62","243","76.2%","76","23.8%","5","1.6%","123","38.6%","176","55.2%","8","2.5%","7","2.2%","69","21.6%","12","3.8%","285","89.3%","79.5%"
"10X438","Fordham Leadership Academy","2018-19","352","0","0","0","0","0","0","0","0","0","0","123","101","70","58","161","45.7%","191","54.3%","10","2.8%","90","25.6%","243","69%","4","1.1%","5","1.4%","85","24.1%","70","19.9%","290","82.4%","89.3%"
"10X439","Bronx High School for Law and Community Service","2018-19","402","0","0","0","0","0","0","0","0","0","0","121","108","89","84","231","57.5%","171","42.5%","6","1.5%","111","27.6%","268","66.7%","7","1.7%","10","2.5%","102","25.4%","52","12.9%","361","89.8%","87.6%"
"10X440","DeWitt Clinton High School","2018-19","1,119","0","0","0","0","0","0","0","0","0","0","380","260","264","215","483","43.2%","636","56.8%","120","10.7%","355","31.7%","583","52.1%","26","2.3%","35","3.1%","212","18.9%","166","14.8%","882","78.8%","83.1%"
"10X442","Celia Cruz Bronx High School of Music, The","2018-19","421","0","0","0","0","0","0","0","0","0","0","130","107","92","92","268","63.7%","153","36.3%","6","1.4%","112","26.6%","278","66%","20","4.8%","5","1.2%","96","22.8%","24","5.7%","366","86.9%","77.8%"
"10X445","The Bronx High School of Science","2018-19","3,016","0","0","0","0","0","0","0","0","0","0","759","757","756","744","1,231","40.8%","1,785","59.2%","1,957","64.9%","79","2.6%","213","7.1%","95","3.1%","672","22.3%","42","1.4%","1","0%","1,266","42%","37.5%"
"10X447","Creston Academy","2018-19","459","0","0","0","0","0","0","0","137","158","164","0","0","0","0","229","49.9%","230","50.1%","8","1.7%","51","11.1%","391","85.2%","4","0.9%","5","1.1%","87","19%","137","29.8%","436","95%","94.4%"
"10X459","East Fordham Academy for the Arts","2018-19","296","0","0","0","0","0","0","0","90","108","98","0","0","0","0","139","47%","157","53%","7","2.4%","54","18.2%","224","75.7%","6","2%","5","1.7%","83","28%","86","29.1%","267","90.2%","94%"
"10X477","Marble Hill High School for International Studies","2018-19","448","0","0","0","0","0","0","0","0","0","0","112","105","122","109","233","52%","215","48%","62","13.8%","67","15%","291","65%","7","1.6%","21","4.7%","60","13.4%","133","29.7%","399","89.1%","85.5%"
"10X524","Crotona International High School","2018-19","333","0","0","0","0","0","0","0","0","0","0","75","87","96","75","168","50.5%","165","49.5%","5","1.5%","21","6.3%","292","87.7%","2","0.6%","13","3.9%","11","3.3%","319","95.8%","281","84.4%","99%"
"10X535","Rose Hill Pre-K Center","2018-19","338","338","0","0","0","0","0","0","0","0","0","0","0","0","0","169","50%","169","50%","5","1.5%","87","25.7%","234","69.2%","1","0.3%","11","3.3%","44","13%","0","0%","272","80.5%","85.4%"
"10X546","Bronx Theatre High School","2018-19","347","0","0","0","0","0","0","0","0","0","0","106","112","75","54","240","69.2%","107","30.8%","4","1.2%","112","32.3%","210","60.5%","12","3.5%","9","2.6%","82","23.6%","20","5.8%","292","84.1%","90.5%"
"10X549","Discovery High School","2018-19","490","0","0","0","0","0","0","0","0","0","1","106","128","130","125","236","48.2%","254","51.8%","20","4.1%","81","16.5%","372","75.9%","6","1.2%","11","2.2%","124","25.3%","123","25.1%","421","85.9%","90.2%"
"10X565","High School for Energy and Technology","2018-19","406","0","0","0","0","0","0","0","0","0","0","120","93","96","97","94","23.2%","312","76.8%","15","3.7%","98","24.1%","284","70%","4","1%","5","1.2%","109","26.8%","58","14.3%","330","81.3%","88.3%"
"10X696","High School of American Studies at Lehman College","2018-19","411","0","0","0","0","0","0","0","0","0","0","105","96","110","100","214","52.1%","197","47.9%","89","21.7%","16","3.9%","40","9.7%","33","8%","233","56.7%","11","2.7%","0","0%","98","23.8%","24.7%"
"11X016","P.S. 016 Wakefield","2018-19","335","28","46","39","44","53","64","61","0","0","0","0","0","0","0","171","51%","164","49%","18","5.4%","153","45.7%","129","38.5%","25","7.5%","10","3%","75","22.4%","36","10.7%","314","93.7%","81.8%"
"11X019","P.S. 019 Judith K. Weiss","2018-19","520","0","50","62","48","60","63","62","56","63","56","0","0","0","0","244","46.9%","276","53.1%","17","3.3%","32","6.2%","139","26.7%","14","2.7%","318","61.2%","81","15.6%","49","9.4%","268","51.5%","39.7%"
"11X021","P.S. 021 Philip H. Sheridan","2018-19","647","0","89","102","110","89","129","128","0","0","0","0","0","0","0","288","44.5%","359","55.5%","21","3.2%","400","61.8%","194","30%","22","3.4%","10","1.5%","133","20.6%","69","10.7%","588","90.9%","87%"
"11X041","P.S. 041 Gun Hill Road","2018-19","862","0","115","138","143","150","151","165","0","0","0","0","0","0","0","426","49.4%","436","50.6%","18","2.1%","426","49.4%","390","45.2%","4","0.5%","24","2.8%","166","19.3%","100","11.6%","832","96.5%","89.6%"
"11X068","P.S. 068 Bronx","2018-19","643","18","89","93","94","113","115","121","0","0","0","0","0","0","0","304","47.3%","339","52.7%","9","1.4%","483","75.1%","131","20.4%","11","1.7%","9","1.4%","154","24%","10","1.6%","424","65.9%","70.4%"
"11X076","P.S. 076 The Bennington School","2018-19","893","0","118","142","152","151","161","169","0","0","0","0","0","0","0","422","47.3%","471","52.7%","47","5.3%","387","43.3%","390","43.7%","11","1.2%","58","6.5%","151","16.9%","143","16%","681","76.3%","82.2%"
"11X078","P.S. 078 Anne Hutchinson","2018-19","817","35","117","131","127","129","149","129","0","0","0","0","0","0","0","390","47.7%","427","52.3%","12","1.5%","580","71%","197","24.1%","8","1%","20","2.4%","141","17.3%","51","6.2%","666","81.5%","82.5%"
"11X083","P.S. 083 Donald Hertz","2018-19","1,648","0","132","146","152","160","198","202","221","220","217","0","0","0","0","789","47.9%","859","52.1%","162","9.8%","115","7%","792","48.1%","22","1.3%","557","33.8%","320","19.4%","286","17.4%","1,066","64.7%","71.4%"
"11X087","P.S. 087 Bronx","2018-19","588","0","84","94","88","101","101","120","0","0","0","0","0","0","0","276","46.9%","312","53.1%","29","4.9%","406","69%","108","18.4%","33","5.6%","12","2%","115","19.6%","26","4.4%","435","74%","70.2%"
"11X089","P.S. 089 Bronx","2018-19","1,550","50","158","153","140","172","154","174","200","184","165","0","0","0","0","774","49.9%","776","50.1%","156","10.1%","308","19.9%","835","53.9%","20","1.3%","231","14.9%","256","16.5%","309","19.9%","1,190","76.8%","82.6%"
"11X096","P.S. 096 Richard Rodgers","2018-19","897","0","145","150","153","146","136","167","0","0","0","0","0","0","0","434","48.4%","463","51.6%","35","3.9%","174","19.4%","580","64.7%","12","1.3%","96","10.7%","183","20.4%","72","8%","697","77.7%","82.5%"
"11X097","P.S. 097 Bronx","2018-19","607","18","91","91","94","103","104","106","0","0","0","0","0","0","0","292","48.1%","315","51.9%","107","17.6%","177","29.2%","228","37.6%","10","1.6%","85","14%","125","20.6%","49","8.1%","470","77.4%","65.2%"
"11X103","P.S. 103 Hector Fontanez","2018-19","1,019","0","147","164","150","193","200","165","0","0","0","0","0","0","0","485","47.6%","534","52.4%","28","2.7%","473","46.4%","451","44.3%","34","3.3%","33","3.2%","238","23.4%","183","18%","901","88.4%","87.5%"
"11X105","P.S. 105 Sen Abraham Bernstein","2018-19","1,028","53","181","166","128","153","177","170","0","0","0","0","0","0","0","505","49.1%","523","50.9%","101","9.8%","107","10.4%","652","63.4%","18","1.8%","150","14.6%","195","19%","272","26.5%","942","91.6%","85.4%"
"11X106","P.S. 106 Parkchester","2018-19","1,106","53","171","180","164","174","203","161","0","0","0","0","0","0","0","518","46.8%","588","53.2%","408","36.9%","267","24.1%","369","33.4%","23","2.1%","39","3.5%","220","19.9%","184","16.6%","834","75.4%","77.6%"
"11X108","P.S. 108 Philip J. Abinanti","2018-19","588","18","99","91","107","97","89","87","0","0","0","0","0","0","0","276","46.9%","312","53.1%","78","13.3%","27","4.6%","242","41.2%","11","1.9%","230","39.1%","88","15%","77","13.1%","456","77.6%","58.4%"
"11X111","P.S. 111 Seton Falls","2018-19","644","41","100","110","99","97","109","88","0","0","0","0","0","0","0","326","50.6%","318","49.4%","9","1.4%","387","60.1%","230","35.7%","7","1.1%","11","1.7%","178","27.6%","36","5.6%","570","88.5%","85.2%"
